Category,Households by Income (Percent)1,Households by Income (Percent)2,Households by Income (Percent)3
"Under $15,000",17.59,13.47,8.36
"$15,000 - $24,999",12.38,10.06,8.17
"$25,000 - $34,999",11.53,9.86,8.65
"$35,000 - $49,999",15.68,13.64,12.97
"$50,000 - $74,999",16.52,17.6,18.09
"$75,000 - $99,999",9.83,11.95,13.86
"$100,000 - $124,999",6.26,8.36,10.21
"$125,000 - $149,999",3.87,5.46,6.9
"$150,000 - $199,999",3.33,4.87,6.39
"$200,000 - $249,999",1.46,2.09,2.79
"$250,000 - $499,999",1.21,1.95,2.59
"$500,000.00",0.32,0.7,1.02